Category,Link
kidnapping,https://nigeriacrime.com/kidnapped-aibom-judge-driver-regains-freedom/
kidnapping,https://nigeriacrime.com/gunmen-kill-medical-doctor-in-kwara-abduct-daughter/
kidnapping,https://nigeriacrime.com/enugu-three-kidnapped-while-performing-sacrifice-in-river/
kidnapping,https://nigeriacrime.com/how-i-was-kidnapped-while-travelling-from-kaduna-to-abuja-sarkin-michika-reveals/
kidnapping,https://nigeriacrime.com/akwa-ibom-high-court-judge-driver-abducted-orderly-shot-dead/
kidnapping,https://nigeriacrime.com/kidnappers-demand-n10m-ransom-from-families-of-abducted-musician-band-members/
kidnapping,https://nigeriacrime.com/save-us-from-kidnappers-abuja-community-begs-govt/
kidnapping,https://nigeriacrime.com/7-kidnap-victims-rescued-as-police-arrest-one-in-ogun/
kidnapping,https://nigeriacrime.com/anambra-four-siblings-rescued-from-kidnappers/
kidnapping,https://nigeriacrime.com/rivers-two-koreans-kidnapped-four-soldiers-killed/
kidnapping,https://nigeriacrime.com/just-in-abuja-woman-three-children-kidnapped/
kidnapping,https://nigeriacrime.com/kidnappers-demand-n20m-to-free-abuja-landlords/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/abia-how-keke-rider-disappeared-with-four-school-children/
kidnapping,https://nigeriacrime.com/imo-catholic-priest-abducted-2/
kidnapping,https://nigeriacrime.com/police-rescue-kidnapped-kaduna-couple-others/
kidnapping,https://nigeriacrime.com/kidnapping-court-jails-kwara-community-leader-two-others-for-life/
kidnapping,https://nigeriacrime.com/delta-leader-of-kidnap-syndicate-seven-others-arrested/
kidnapping,https://nigeriacrime.com/plateau-pastor-three-others-rescued-from-kidnappers/
kidnapping,https://nigeriacrime.com/couple-imam-others-kidnapped-in-kaduna-community/
kidnapping,https://nigeriacrime.com/18-suspected-kidnappers-arrested-victims-rescued/
kidnapping,https://nigeriacrime.com/traditional-ruler-17-others-arrested-over-kidnap-of-two-traders/
kidnapping,https://nigeriacrime.com/boyfriend-one-other-in-court-over-missing-14-year-old-girl/
kidnapping,https://nigeriacrime.com/eight-women-abducted-in-abuja/
kidnapping,https://nigeriacrime.com/tragedy-as-kidnappers-murder-abducted-priest-in-kogi/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/kaduna-three-kidnapped-victims-rescued-one-suspect-in-police-net/
kidnapping,https://nigeriacrime.com/police-rescue-3-victims-in-gogalo-village-failed-kidnap/
kidnapping,https://nigeriacrime.com/our-staff-have-been-held-hostage-in-bayelsa-inec/
kidnapping,https://nigeriacrime.com/gunmen-kidnap-inec-official-in-bayelsa/
kidnapping,https://nigeriacrime.com/n250m-ransom-was-paid-to-rescue-121-kidnapped-baptist-students-can/
kidnapping,https://nigeriacrime.com/6-year-old-pupil-stolen-from-makurdi-school-by-trafficker/
kidnapping,https://nigeriacrime.com/police-rescues-kidnapped-ex-inec-staff-from-in-criver/
kidnapping,https://nigeriacrime.com/six-rescued-from-kidnappers/
kidnapping,https://nigeriacrime.com/taraba-catholic-priest-abducted/
kidnapping,https://nigeriacrime.com/former-benue-lg-chair-murdered-buried-by-abductors/
kidnapping,https://nigeriacrime.com/zamfara-community-district-head-five-others-abducted/
kidnapping,https://nigeriacrime.com/soldiers-to-rescue-kidnap-victims-in-kwara-community/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/secondary-school-student-kills-neighbours-child-after-collecting-ransom/
kidnapping,https://nigeriacrime.com/6-persons-kidnapped-in-taraba-state/
kidnapping,https://nigeriacrime.com/female-lecturer-abducted-in-nasarawa/
kidnapping,https://nigeriacrime.com/gunmen-abduct-taraba-police-inspector/
kidnapping,https://nigeriacrime.com/gunmen-abduct-three-in-kwara-community/
kidnapping,https://nigeriacrime.com/gunmen-abduct-3-persons-in-kwara-vandalised-palace-loot-shops/
kidnapping,https://nigeriacrime.com/former-lg-chair-12-others-kidnapped/
kidnapping,https://nigeriacrime.com/abducted-wife-children-of-kwara-lawmakers-regain-freedom/
kidnapping,https://nigeriacrime.com/kwara-lawmakers-wife-children-abducted-kidnappers-deliberate-ransom/
kidnapping,https://nigeriacrime.com/soldiers-kill-bandit-rescue-6-kidnapped-victims-in-kaduna/
kidnapping,https://nigeriacrime.com/kogi-suspected-gunmen-kidnap-islamic-cleric-brother/
kidnapping,https://nigeriacrime.com/kidnappers-abduct-4-students-of-nasarawa-state-university/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/armed-men-abduct-benue-subeb-acting-chairmans-nephew/
kidnapping,https://nigeriacrime.com/gunmen-kidnap-2-in-taraba/
kidnapping,https://nigeriacrime.com/suspects-who-kidnapped-7-unijos-students-arrested/
kidnapping,https://nigeriacrime.com/kidnapped-benue-commissioner-regains-freedom/
kidnapping,https://nigeriacrime.com/five-katsina-students-abducted-by-gunmen/
kidnapping,https://nigeriacrime.com/taraba-police-confirm-abduction-of-district-head-others/
